A1,Elohim-001_Behold_child,01,Detector at start of A1
A1,Elohim-002_All_across_this_land,02,Detector at end of tutorial area (before middle of A1)
A1,Elohim-007_You_will_not_need,07,"Collecting a tetro before opening the gate and having exactly one yellow tetro, but not (>=2 DJs and exactly 1 DZ)"
Any Main Game,Elohim-037_The_guardians_of_this_land,37,"Respawning after dying to a mine or turret while having flag ""Overlay_Tutorial_14_Barrier_Shown"""
A1,Elohim-004_The_shapes_you_are,04,Collecting a tetro before opening the gate and having one of the gate sigils
A1,Elohim-005_Well_done_child_only,05,Collecting a tetro before opening the gate and having two of the gate sigils
A1,Elohim-009_Well_done_but_you,09,Collecting a tetro before opening the gate and having >2 DJs and <1 DZs
A1,Elohim-006_My_temple_awaits,06,"Collecting a tetro before opening the gate and having >=2 DJs and exactly 1 DZ
Sets flag for dialog 10"
A1,Elohim-010_My_child_you_do_not_need_to,10,Enter a puzzle after collecting the sigils for the gate without opening it
A1,Elohim-011_You_are_most_diligent,11,"Collecting a tetro before opening the gate and having exactly 3 DJs, 1 DZ, and 1 yellow tetro
OR collecting a sigil after opening the gate and having exactly 3 DJs, 1 DZ, 2 yellow tetros, and 1 DI"
A1,Elohim-012_Step_into_the_light,12,Detector near exit
Nexus,Elohim-013_You_walk_now_upon,13,Detector right after leaving A1
"Any Cloud Level
Not A1",Elohim-014_Let_this_be_our_covenant,14,"On level change
Sets flag for dialog 15"
Any Main Game,Elohim-015_Good_you_are_learning,15,"On collecting a tetro, after having entered a world outside of A1"
Nexus,Elohim-027_There_is_much_that_you_may,27,"""UnlockingAnimFinished"" event on connector +2s"
Any Cloud Level,Elohim-016_These_worlds_and_we,16,"On level change, when having 15 DMN tetros"
A4,Elohim-053_Behold_I_am_Elohim,53,Glitchstorm detector +2s
A4,Elohim-054_Excess_data_cleared,54,"Glitchstorm detector +MIN(last dialog finish +2.25s, 24.25s)"
Any Cloud Level,Elohim-017_Long_ago_I_shaped,17,"On level change, when having 21 DMN tetros"
Nexus,Elohim-030_Rejoice_child,30,"On level change, when having flag ""StoryVO_Episode1"" (collecting all DMN tetros in A)"
Any Cloud Level,Elohim-018_I_have_promised,18,"On level change, when having 28 DMN tetros"
Nexus,Elohim-029_You_have_proven_yourself_worthy,29,A elevator button 0 used
Nexus,Elohim-031_A_new_land,31,B elevator button -1 used
B1,Elohim-050_Cease,50,Collecting Road of Death then hitting detector +6s
B1,Elohim-051_In_the_time_of_your_ancestors,51,Collecting Road of Death then hitting detector +9.5s
Any Cloud Level,Elohim-019_I_see_all,19,"On level change, when having 35 DMN tetros"
Any Cloud Level,Elohim-020_You_may_wonder,20,"On level change, when having 42 DMN tetros"
B4,Elohim-055_What_is_this,55,Entering ABUH +4s
Any Cloud Level,Elohim-021_You_have_solved,21,"On level change, when having 49 DMN tetros"
Any Cloud Level,Elohim-022_When_you_overcome,22,"On level change, when having 56 DMN tetros"
Nexus,Elohim-033_The_land_of_tombs,33,"On level change, when having flag ""StoryVO_Episode2"" (collecting all DMN tetros in B)"
